state,county,County_name,Civilian_labor_force_2019,Unemployed_2019,Unemployment_rate_2019,State_Abbr,less_than_high_school,high_school_diploma,some_college,bach_degree,CENSUS_2010_POP,ESTIMATES_BASE_2010,POP_ESTIMATE_2019,N_POP_CHG_2019,Births_2019,Deaths_2019,NATURAL_INC_2019,INTERNATIONAL_MIG_2019,DOMESTIC_MIG_2019,NET_MIG_2019,RESIDUAL_2019,GQ_ESTIMATES_2019,R_birth_2019,R_death_2019,R_NATURAL_INC_2019,R_INTERNATIONAL_MIG_2019,R_DOMESTIC_MIG_2019,R_NET_MIG_2019,cases,deaths
29,141,Morgan County,8127,351,4.3,MO,2945,5701,3753,1831,20565,20567,20627,213,271,289,-18,-6,235,229,2,302,13.206305889,14.083477498,-0.877171609,-0.292390536,11.451962671,11.159572135,745,8
29,143,New Madrid County,8236,356,4.3,MO,2694,5435,2578,1561,18956,18940,17076,-196,204,242,-38,0,-160,-160,2,332,11.878420869,14.091067893,-2.212647025,0,-9.316408525,-9.316408525,827,23
29,145,Newton County,27392,894,3.3,MO,5201,13464,12748,7708,58114,58118,58236,78,692,619,73,6,3,9,-4,882,11.890647284,10.636287094,1.254360190,0.103098098,0.051549049,0.154647147,2181,22
29,147,Nodaway County,10790,322,3,MO,938,4805,3253,3466,23370,23373,22092,-131,195,186,9,4,-145,-141,1,3648,8.800631840,8.394448832,0.406183008,0.180525781,-6.544059574,-6.363533792,1278,11
29,149,Oregon County,3981,157,3.9,MO,1379,3051,2227,929,10881,10881,10529,-29,111,146,-35,1,6,7,-1,121,10.527813345,13.847394129,-3.319580784,0.094845165,0.569070992,0.663916157,247,0
29,151,Osage County,7106,170,2.4,MO,934,4051,2504,1747,13878,13909,13615,-37,142,131,11,0,-48,-48,0,405,10.415520593,9.608684490,0.806836102,0,-3.520739355,-3.520739355,559,3
29,153,Ozark County,3412,198,5.8,MO,1177,3079,1802,842,9723,9728,9174,104,80,131,-51,0,155,155,0,123,8.770006578,14.360885771,-5.590879193,0,16.991887744,16.991887744,226,1
29,155,Pemiscot County,6364,321,5,MO,2536,4563,2624,1337,18296,18287,15805,-451,224,236,-12,-8,-433,-441,2,202,13.973363276,14.721936309,-0.748573033,-0.499048688,-27.01101026,-27.51005895,761,14
29,157,Perry County,10065,264,2.6,MO,1631,5840,3507,2088,18971,18971,19136,-138,222,222,0,10,-150,-140,2,286,11.559489716,11.559489716,0,0.520697735,-7.810466024,-7.28976829,876,8
29,159,Pettis County,20971,744,3.5,MO,4189,9690,9050,5159,42201,42214,42339,-102,577,424,153,15,-270,-255,0,851,13.611700873,10.002359047,3.609341826,0.353857042,-6.369426752,-6.01556971,1860,26
29,161,Phelps County,19828,651,3.3,MO,3420,8361,7912,8232,45156,45124,44573,22,461,421,40,173,-191,-18,0,3017,10.345137112,9.447511332,0.897625780,3.882231498,-4.286163099,-0.403931601,932,27
29,163,Pike County,7492,268,3.6,MO,2048,5771,2916,2065,18516,18511,18302,-200,206,189,17,0,-217,-217,0,2372,11.194435387,10.270622758,0.923812629,0,-11.7921965,-11.7921965,386,8
